date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2012-12-08,Malaysia,188,67,37,34,17,14,8,3,0,0,368
2012-12-09,Malaysia,220,84,71,59,45,46,23,12,0,1,561
2012-12-10,Malaysia,231,26,22,13,11,6,5,1,0,0,315
2012-12-11,Malaysia,147,74,55,30,17,9,5,5,1,1,344
2012-12-12,Malaysia,203,136,77,45,40,18,11,6,0,1,537
2012-12-13,Malaysia,172,92,70,50,37,22,5,2,1,1,452
2012-12-14,Malaysia,128,54,28,20,21,18,6,2,0,0,277
2012-12-15,Malaysia,105,43,38,34,29,21,13,1,0,0,284
2012-12-16,Malaysia,179,96,69,64,57,25,19,9,2,0,520
2012-12-17,Malaysia,163,46,25,15,11,5,6,1,0,0,272
2012-12-18,Malaysia,259,70,62,23,17,15,2,0,0,1,449
2012-12-19,Malaysia,370,60,46,25,26,14,8,1,0,1,551
2012-12-20,Malaysia,250,83,51,28,21,9,4,2,0,0,448
2012-12-21,Malaysia,83,64,46,32,31,12,5,2,1,0,276
2012-12-22,Malaysia,60,55,47,26,34,13,5,5,0,0,245
2012-12-23,Malaysia,102,49,53,52,38,25,22,4,0,0,345
2012-12-24,Malaysia,76,23,29,17,16,6,3,1,0,3,174
2012-12-25,Malaysia,67,47,40,38,25,19,5,9,1,0,251
2012-12-26,Malaysia,33,25,22,14,11,8,5,1,0,1,120
2012-12-27,Malaysia,139,55,31,14,11,4,2,2,1,0,259
2012-12-28,Malaysia,61,41,31,16,14,12,7,0,0,0,182
2012-12-29,Malaysia,211,99,48,42,30,25,10,1,4,3,473
2012-12-30,Malaysia,129,75,74,52,31,28,17,7,1,2,416
2012-12-31,Malaysia,61,32,15,24,12,5,4,1,0,0,154
2013-01-01,Malaysia,80,48,41,27,32,17,9,3,0,0,257
2013-01-02,Malaysia,88,56,46,32,6,6,2,1,0,0,237
2013-01-03,Malaysia,314,41,44,11,7,4,4,1,0,0,426
2013-01-04,Malaysia,93,30,17,17,2,5,1,1,0,0,166
2013-01-05,Malaysia,160,44,48,33,22,19,10,5,0,0,341
2013-01-06,Malaysia,158,92,74,82,51,42,25,10,1,0,535
2013-01-07,Malaysia,107,33,29,12,13,2,2,0,0,0,198
2013-01-08,Malaysia,212,42,52,25,20,13,10,1,1,0,376
2013-01-09,Malaysia,311,62,38,25,29,15,15,2,0,0,497
2013-01-10,Malaysia,383,46,36,15,13,18,10,4,0,0,525
2013-01-11,Malaysia,95,71,36,27,22,6,7,0,0,0,264
2013-01-12,Malaysia,567,120,56,37,29,21,13,4,1,2,850
2013-01-13,Malaysia,94,78,57,71,32,21,16,3,0,0,372
2013-01-14,Malaysia,244,55,27,16,10,7,3,1,0,0,363
2013-01-15,Malaysia,417,59,34,14,15,12,6,1,0,0,558
2013-01-16,Malaysia,616,83,31,20,9,11,8,1,0,0,779
2013-01-17,Malaysia,450,67,40,31,24,7,4,4,0,1,628
2013-01-18,Malaysia,349,41,35,14,16,11,4,4,0,0,474
2013-01-19,Malaysia,274,68,50,53,27,25,13,5,0,3,518
2013-01-20,Malaysia,129,71,66,61,57,44,23,7,1,0,459
2013-01-21,Malaysia,323,89,41,38,23,3,9,1,0,1,528
2013-01-22,Malaysia,398,97,78,50,25,6,9,5,0,7,675
2013-01-23,Malaysia,435,94,51,31,26,10,5,2,0,0,654
2013-01-24,Malaysia,85,47,36,19,17,13,12,0,0,0,229
2013-01-25,Malaysia,64,41,22,27,12,11,6,3,0,0,186
2013-01-26,Malaysia,215,98,78,63,43,36,18,11,0,0,562
2013-01-27,Malaysia,274,168,169,109,103,77,45,10,1,1,957
2013-01-28,Malaysia,206,77,48,48,23,21,10,4,1,0,438
2013-01-29,Malaysia,293,45,22,16,10,6,4,1,0,0,397
2013-01-30,Malaysia,493,90,67,55,21,9,6,8,0,3,752
2013-01-31,Malaysia,302,85,69,26,32,5,7,6,0,0,532
2013-02-01,Malaysia,62,29,27,13,11,4,2,3,0,1,152
2013-02-02,Malaysia,169,73,56,51,30,28,5,1,0,0,413
2013-02-03,Malaysia,162,77,84,54,47,37,15,12,0,2,490
2013-02-04,Malaysia,182,56,34,20,15,4,5,1,0,1,318
2013-02-05,Malaysia,174,64,49,21,24,10,9,2,0,0,353
2013-02-06,Malaysia,334,61,51,21,18,15,4,3,0,2,509
2013-02-07,Malaysia,456,67,36,27,15,21,8,3,1,1,635
2013-02-08,Malaysia,161,53,40,25,21,11,4,4,0,2,321
2013-02-09,Malaysia,203,77,61,40,37,26,16,6,0,0,466
2013-02-10,Malaysia,77,51,42,34,29,18,8,6,0,0,265
2013-02-11,Malaysia,88,55,38,30,24,17,20,0,0,0,272
2013-02-12,Malaysia,57,34,28,24,16,11,4,1,0,0,175
2013-02-13,Malaysia,165,26,23,21,30,11,4,1,0,1,282
2013-02-14,Malaysia,219,50,50,33,19,13,4,6,0,1,395
2013-02-15,Malaysia,167,64,32,28,17,4,5,2,1,0,320
2013-02-16,Malaysia,513,57,48,47,26,25,18,4,0,0,738
2013-02-17,Malaysia,299,91,59,70,48,25,9,3,1,4,609
2013-02-18,Malaysia,265,38,26,25,19,14,3,2,0,0,392
2013-02-19,Malaysia,370,64,26,18,37,4,2,1,0,1,523
2013-02-20,Malaysia,536,49,40,27,17,11,13,10,1,0,704
2013-02-21,Malaysia,410,63,48,30,14,4,6,0,0,0,575
2013-02-22,Malaysia,114,56,33,25,16,20,10,1,0,1,276
2013-02-23,Malaysia,501,90,67,47,34,29,8,8,3,1,788
2013-02-24,Malaysia,137,69,73,80,43,30,7,8,1,0,448
2013-02-25,Malaysia,173,32,33,26,22,8,8,1,0,0,303
2013-02-26,Malaysia,303,54,55,23,11,12,3,3,0,0,464
2013-02-27,Malaysia,538,43,38,10,15,9,5,2,1,1,662
2013-02-28,Malaysia,336,39,37,22,14,8,3,3,0,1,463
2013-03-01,Malaysia,86,18,21,14,9,4,4,0,0,0,156
